,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
52.51256281407035,2.465129108600263e-31,4.1290966808231717e-47,8.537962469438885e-52,1.2285023665805132e-45,8.663450054609724e-69,8.819990501519664e-28,7.040249875602619e-38,3.160923816072579e-51,8.032113827595359e-28,2.916277527354116e-43,2.742489868817473e-31,1.2789369268802177e-41,3.028003400288285e-19,1.8801569813612727e-39,2.4853238940828176e-44,1.6548508662647666e-33,8.438482553311696e-27,3.793290320545503e-42,7.282142577091683e-44,8.719863597546694e-63,2.5872152918174914e-39,1.8198490780694575e-25,1.5980022472247581e-37,4.446313771073427e-72,5.832195633280418e-69,6.79525573870324e-33,8.69013693210503e-29,2.7135779071726726e-51,2.7888987009473256e-21,5.0967996518897005e-25
52.76381909547739,1.1383698668561645e-30,3.7803089570422794e-46,1.1931700929566916e-50,1.1240509150845896e-44,2.438775606632931e-67,3.4818610481089246e-27,3.5660625407815538e-37,2.564895351875372e-50,2.3246304645256245e-27,2.4928567783171652e-42,1.4198303726718084e-30,8.548318621566045e-41,6.153918863374369e-19,9.14268176318526e-39,2.0935864502349292e-43,8.250131516186888e-33,3.3623761255981805e-26,2.7491998540211744e-41,7.589804869332792e-43,1.490327965657665e-61,1.9565974128374127e-38,7.0091501527321365e-25,7.568526495919755e-37,2.304507639814076e-70,1.3672553997929545e-67,3.6246830660360054e-32,3.4978869779510047e-28,3.260729794879268e-50,6.295511169244661e-21,1.670452902982335e-24
53.015075376884425,5.2019439209567174e-30,3.3857453263276433e-45,1.6369134890764057e-49,1.0122677876838365e-43,6.775417662951528e-66,1.3601367639845406e-26,1.7892533330797915e-36,2.0488675674095065e-49,6.688486224033418e-27,2.098546263402333e-41,7.256718132431864e-30,5.6485150617306e-40,1.2458550510894879e-18,4.393688311852175e-38,1.732712257149445e-42,4.069995111068802e-32,1.3263279033409098e-25,1.9666642925751984e-40,7.775011605360603e-42,2.5058865510184034e-60,1.4546489066749313e-37,2.6681806340196867e-24,3.537212478620415e-36,1.1559944840297432e-68,3.145448930853968e-66,1.9120112728873942e-31,1.3948460102062002e-27,3.8485377844187794e-49,1.4115150171671365e-20,5.4323002765993205e-24
53.266331658291456,2.3520131130433093e-29,2.965530426369426e-44,2.2041239590588603e-48,8.970773820965179e-43,1.8572615754298104e-64,5.256849404859363e-26,8.892508892138175e-36,1.6112392048000668e-48,1.913162115894496e-26,1.739468211435602e-40,3.6608530073552457e-29,3.6896604403118845e-39,2.5124931047655726e-18,2.0871847784937923e-37,1.409446451476317e-41,1.986642341524749e-31,5.178736710781917e-25,1.3891812011046055e-39,7.826587073775928e-41,4.147351296088723e-59,1.0629141368916821e-36,1.0037457572168304e-23,1.631532314404131e-35,5.609453091166623e-67,7.100574719084914e-65,9.972902661282227e-31,5.5099255871197286e-27,4.460773596476352e-48,3.146135490273733e-20,1.7527393144434915e-23
53.517587939698494,1.0520943456901267e-28,2.5395071545969888e-43,2.9123091968435697e-47,7.821855622680312e-42,5.02223264506261e-63,2.0099315174278844e-25,4.377549827897509e-35,1.2474478958143794e-47,5.440320367393478e-26,1.4194177568204715e-39,1.8225698189600777e-28,2.382372491974285e-38,5.0473590775338425e-18,9.803416579350617e-37,1.1272114730410566e-40,9.59392031189329e-31,2.0012739867743567e-24,9.692985003565822e-39,7.739998899381418e-40,6.759991651573624e-58,7.63164746074638e-36,3.7310308624797377e-23,7.428331509163628e-35,2.6317786423531874e-65,1.5726696774348792e-63,5.142962812210858e-30,2.1558489843752984e-26,5.076666055855978e-47,6.976998810993983e-20,5.610520716330629e-23
53.768844221105525,4.655382023025527e-28,2.125610179412983e-42,3.775085734247586e-46,6.708882127609058e-41,1.3394451479756923e-61,7.6012983147521065e-25,2.13439088826175e-34,9.508594703993735e-47,1.5379534938277463e-25,1.14002340434462e-38,8.952890027310055e-28,1.5204520454602719e-37,1.010054706070852e-17,4.55404312770914e-36,8.866108682599235e-40,4.583285693862443e-30,7.653081052110854e-24,6.683218485398948e-38,7.517901485239112e-39,1.08575765448903e-56,5.382901800723394e-35,1.3701501655696898e-22,3.3391208163666653e-34,1.1931878233592846e-63,3.417139584191162e-62,2.6218694612522456e-29,8.354003642351971e-26,5.671749656986885e-46,1.540605711937961e-19,1.7815850048452166e-22
54.02010050251256,2.0374272926739404e-27,1.7386113780427543e-41,4.799466989355131e-45,5.6592756146347195e-40,3.522541553173277e-60,2.843022488487487e-24,1.03069833036492e-33,7.136047767519529e-46,4.322188291557426e-25,9.01023153698323e-38,4.338430521576712e-27,9.59047422117466e-37,2.013471063012382e-17,2.092896050135781e-35,6.860493841322692e-39,2.1657672329254572e-29,2.8956500422377994e-23,4.555093155641516e-37,7.170072526940909e-38,1.7194094739141605e-55,3.7289926124038006e-34,4.970261598355387e-22,1.4822131980304544e-33,5.224627789428267e-62,7.282992432325717e-61,1.3211585297415362e-28,3.2056909109696517e-25,6.219239451979583e-45,3.389534012676097e-19,5.6116378139838805e-22
54.2713567839196,8.818020430782317e-27,1.3893527585682174e-40,5.982974993659961e-44,4.6940367809565265e-39,9.131640131437378e-59,1.051456600990406e-23,4.929234223594618e-33,5.273064681879049e-45,1.20753591913368e-24,7.006165875994836e-37,2.0734870431393916e-26,5.9782207529432984e-36,3.998187078269096e-17,9.518449374067425e-35,5.223774324457415e-38,1.0121526454543942e-28,1.0838381380022223e-22,3.0700188614302565e-36,6.712730137602189e-37,2.686130502922007e-54,2.5365490612202736e-33,1.7807378080196104e-21,6.498722491752252e-33,2.2081866653354706e-60,1.5223420978550196e-59,6.579308510891419e-28,1.2179865458711838e-24,6.691859409485678e-44,7.434704939525198e-19,1.75311912635427e-21
54.52261306532663,3.773581993095753e-26,1.0844972488093761e-39,7.31092836920124e-43,3.8274241887001224e-38,2.332400848730591e-57,3.844598360816049e-23,2.3344783283761855e-32,3.8366228078618314e-44,3.353704876072333e-24,5.358528187754984e-36,9.771790380415512e-26,3.682341933498344e-35,7.908505640414936e-17,4.285476690165807e-34,3.914907699207173e-37,4.677573607302468e-28,4.0125048282541693e-22,2.0467280605016027e-35,6.167292306943896e-36,4.1418984060983413e-53,1.6938400392846995e-32,6.300412869558243e-21,2.815102921101664e-32,9.003008593570368e-59,3.1202952778412032e-58,3.237554490804594e-27,4.581382666319137e-24,7.0639749740473565e-43,1.6265421446307663e-18,5.4315989397455685e-21
54.77386934673367,1.5964566708486432e-25,8.267482587040309e-39,8.754354738211129e-42,3.067154313558343e-37,5.8661022720602545e-56,1.389590636459353e-22,1.0947919850069178e-31,2.7487329358137837e-43,9.259101919499159e-24,4.0301789910070673e-35,4.53995886569672e-25,2.24103064321522e-34,1.5582410439528444e-16,1.9107387080021382e-33,2.8884128485020403e-36,2.137332830219916e-27,1.4689913233204766e-21,1.350178502888951e-34,5.558708381373793e-35,6.3064780075922245e-52,1.1101474360832552e-31,2.2010308374600085e-20,1.2051172650455935e-31,3.5386684137552756e-57,6.270154383546662e-57,1.573947197703347e-26,1.7057655554763328e-23,7.313814944770794e-42,3.550598487888249e-18,1.6687484642579313e-20
55.0251256281407,6.675802024434489e-25,6.154292773392321e-38,1.026901962622533e-40,2.415033086256042e-36,1.4515895458496686e-54,4.963918756132042e-22,5.083585365989085e-31,1.9392333898377455e-42,2.541096852020061e-23,2.9799202959254306e-34,2.078890085492434e-24,1.3473780985262934e-33,3.0582847518936627e-16,8.439852279403444e-33,2.0983763231244306e-35,9.654561846581978e-27,5.317294041297258e-21,8.815810553196031e-34,4.913543393614785e-34,9.484890192355494e-51,7.139553299258274e-31,7.591238694738093e-20,5.099914678320445e-31,1.3400257657498976e-55,1.235008746046359e-55,7.558205444351156e-26,6.285535463376318e-23,7.425526616864364e-41,7.735501244659723e-18,5.083350305202049e-20
55.27638190954774,2.758737409122555e-24,4.4728299262771565e-37,1.1796028337994304e-39,1.867900180372288e-35,3.53077257280873e-53,1.752217741791773e-21,2.337045497293894e-30,1.3472806610316556e-41,6.932170028891267e-23,2.165553882790466e-33,9.380068179462297e-24,8.001857193829361e-33,5.978844898872568e-16,3.69459999780237e-32,1.5013258422100011e-34,4.310515400710093e-26,1.902570110900484e-20,5.698879452961628e-33,4.258022318380215e-33,1.4093413386479962e-49,4.504514250565944e-30,2.58447165509533e-19,2.1342013588337388e-30,4.8856324148515214e-54,2.383818079257339e-54,3.584398390182818e-25,2.291884896559549e-22,7.390802418325902e-40,1.682322158553678e-17,1.5351498758327197e-19
55.527638190954775,1.1263952334469182e-23,3.1734652961972135e-36,1.3264323628235166e-38,1.4187549531035253e-34,8.432351650569417e-52,6.110816500804288e-21,1.0636061381701135e-29,9.217910687008093e-41,1.879742185304378e-22,1.546303393826378e-32,4.169313919463138e-23,4.69340815198623e-32,1.1642454908256638e-15,1.6035027288854309e-31,1.058065073553405e-33,1.9018868110260524e-25,6.727837102277826e-20,3.6481464865574174e-32,3.6162387202296713e-32,2.0689219631575634e-48,2.7875175117353837e-29,8.684581945115166e-19,8.834823900761145e-30,1.713836234981344e-52,4.507970787939129e-53,1.678381583037564e-24,8.26788053738928e-22,7.209851610100964e-39,3.652783643630538e-17,4.595525746434432e-19
