,0,1,2,3,4
54.2713567839196,2.0488747766225056e-10,5.405681719920675e-10,7.380895752079997e-16,2.8954320987536152e-12,2.499491845707986e-15
54.52261306532663,2.6916243712404634e-10,5.584201444872285e-10,9.378249740992455e-16,5.469445378455138e-12,2.1014290334047675e-15
54.77386934673367,3.442482763319435e-10,5.912383544972473e-10,1.1836189188847736e-15,1.0017676472440618e-11,1.7803085699059912e-15
55.0251256281407,4.29573084575657e-10,6.370340039819991e-10,1.4937779987691953e-15,1.7795893969444e-11,1.537005011591887e-15
55.27638190954774,5.244828250532822e-10,6.923714989904041e-10,1.8961773532966253e-15,3.07448980224479e-11,1.368125932996171e-15
55.527638190954775,6.288412197544437e-10,7.521058216457049e-10,2.430341680001339e-15,5.189264121780216e-11,1.2694393710360174e-15
55.778894472361806,7.438841333529558e-10,8.096143747679191e-10,3.149621664875478e-15,8.604990261638984e-11,1.2396961935976922e-15
56.030150753768844,8.733625805157493e-10,8.576082310345677e-10,4.125046179647537e-15,1.409661311743488e-10,1.2843164510777502e-15
56.28140703517588,1.0250840077981097e-09,8.893483670994759e-10,5.454346391512645e-15,2.2911884477318796e-10,1.4190891912043684e-15
56.53266331658291,1.2130798621433452e-09,8.998744313369428e-10,7.282246475661479e-15,3.702538817909905e-10,1.674590953679626e-15
56.78391959798995,1.4607850847340755e-09,8.868364426179816e-10,9.841564698321936e-15,5.946486319641484e-10,2.1024821432211197e-15
57.03517587939699,1.805824171368156e-09,8.507174896654817e-10,1.3530051709017064e-14,9.468194114631108e-10,2.785420478610753e-15
57.28643216080402,2.3072953179697372e-09,7.944986572659023e-10,1.904841081421627e-14,1.4890441221100054e-09,3.853482335955618e-15
57.537688442211056,3.0568886383371704e-09,7.22974116968794e-10,2.7647674082643167e-14,2.303701820677804e-09,5.512525688346113e-15
57.78894472361809,4.1958395890493895e-09,6.419270200028706e-10,4.158289635923559e-14,3.4932958646445266e-09,8.095416229978325e-15
58.040201005025125,5.940678903390944e-09,5.573069919150967e-10,6.49715854564106e-14,5.177631676053608e-09,1.2158480081191861e-14
58.29145728643216,8.622064188096969e-09,4.745031173653385e-10,1.0546265858819548e-13,7.48955352871882e-09,1.8669134137756002e-14
58.54271356783919,1.2742727849640865e-08,3.977998677504755e-10,1.775470710642632e-13,1.0574003512028915e-08,2.938027915853295e-14
58.79396984924623,1.906279891089405e-08,3.300924078463414e-10,3.0922791724034737e-13,1.459886210172563e-08,4.7595701334945605e-14
59.04522613065326,2.8723447589869217e-08,2.7288789851688877e-10,5.556494888560078e-13,1.9787908876778477e-08,7.977791039541544e-14
59.2964824120603,4.3422808961683035e-08,2.2654643899309214e-10,1.0273301476206478e-12,2.648477157847721e-08,1.390280526002152e-13
59.54773869346734,6.566100779473858e-08,1.906618342963721e-10,1.9493888466349055e-12,3.525352100404007e-08,2.528473085802091e-13
59.798994974874375,9.907288249401329e-08,1.644756225698437e-10,3.787015606036913e-12,4.702235786774049e-08,4.809345814038582e-13
60.050251256281406,1.4886614945629825e-07,1.472524503374764e-10,7.512715383462607e-12,6.328932792742859e-08,9.569943980568987e-13
60.30150753768844,2.2237727640132215e-07,1.3859679261880482e-10,1.5175480277869388e-11,8.643944134203452e-08,1.9889342132055476e-12
60.552763819095475,3.297454002743161e-07,1.3873942619796228e-10,3.1106085229427227e-11,1.2027579388942962e-07,4.302897148893865e-12
60.80402010050251,4.846855443607261e-07,1.4886233801836776e-10,6.444186883793437e-11,1.7095273566855035e-07,9.645218943248649e-12
61.05527638190955,7.053177662775713e-07,1.715762939419695e-10,1.3433602082037005e-10,2.4863905595538794e-07,2.2282569735510983e-11
61.30653266331658,1.0149832082495604e-06,2.117474757190579e-10,2.8050839893077285e-10,3.7047058108883845e-07,5.277399054788876e-11
61.55778894472362,1.44295808241232e-06,2.7804495434092e-10,5.841664371052807e-10,5.6571566692477e-07,1.275393446471676e-10
61.80904522613065,2.0249692584328666e-06,3.859545413244294e-10,1.2085289609400261e-09,8.845969806525897e-07,3.133646384616864e-10
62.06030150753769,2.80342423090047e-06,5.637880490107543e-10,2.4753653146798003e-09,1.4128725329730197e-06,7.808250243132885e-10
62.311557788944725,3.8272923707543996e-06,8.648602873780012e-10,5.005748120435386e-09,2.2950298725937803e-06,1.970200408033738e-09
62.562814070351756,5.1516065851458764e-06,1.3924893455573745e-09,9.971799319964883e-09,3.7697911215218864e-06,5.029553532031766e-09
62.814070351758794,6.836585408765289e-06,2.3518912594987787e-09,1.9534371619173237e-08,6.222810203303875e-06,1.2977982399943106e-08
63.065326633165824,8.946398354719733e-06,4.158618759203601e-09,3.758280368285049e-08,1.0263724032240038e-05,3.3794278486882354e-08
